episode,step,robot_x,robot_y,dynamic_count,time
1,145,508.0858276753457,126.60620621974469,1,1764873642.802527
2,115,509.2029266685969,47.23403453563843,1,1764873643.041913
3,41,396.1758026616018,26.688422548524176,1,1764873643.1236691
4,21,408.9164989579235,27.518247071832544,1,1764873643.1667295
5,44,406.65607465798905,27.501323752061655,1,1764873643.2553716
6,147,508.5774584138546,63.591518365912265,1,1764873643.5596278
7,99,472.338742419858,27.132096186263187,1,1764873643.792981
8,65,396.9259711373867,24.682143278316413,1,1764873643.9320571
9,930,508.97976304493505,577.7866719478365,1,1764873645.712834
10,85,426.51418986999204,25.896599804208115,1,1764873645.8840628
11,419,509.48447900027344,351.55180309236897,1,1764873646.691975
12,31,398.30783375043814,27.74459421588051,1,1764873646.7613783
13,83,415.7065100102737,25.94551399815603,1,1764873646.9183753
14,42,381.27771617337856,26.023396384059915,1,1764873647.0013826
15,41,423.4919073865025,26.0252245949632,1,1764873647.0829186
16,255,507.1241877078643,184.88314724652759,1,1764873647.582547
17,59,439.3146839473835,27.67584298219643,1,1764873647.700936
18,149,509.33412761347813,59.13945056734067,1,1764873648.0055037
19,86,429.3702078567155,26.167033651757556,1,1764873648.178822
20,111,508.6341971529328,123.93891292622169,1,1764873648.3932362
21,192,507.90921127112483,61.461746998984204,1,1764873648.7698834
22,230,509.9071109862387,50.61461658288983,1,1764873649.2400732
23,121,509.33007226129683,69.38389303669864,1,1764873649.527585
24,156,508.9686727433615,57.69136209378328,1,1764873649.86992
25,156,507.4835878364937,111.36119705970275,1,1764873650.2011964
26,228,508.6385151886696,42.29231273932487,1,1764873650.6576173
27,509,200.6742796302717,335.65258966576914,1,1764873651.6937692
28,192,507.39849508977335,167.04850335592508,1,1764873652.0794728
29,230,509.82244022217793,152.93721191411657,1,1764873652.540065
30,61,385.098009352988,27.436646766561438,1,1764873652.6636834
32,63,409.37138434080543,27.95659716552599,1,1764873655.881582
33,163,509.2240192060873,79.95395588030587,1,1764873656.212366
34,40,410.88700646239243,25.623097905740682,1,1764873656.2967734
35,112,443.0687559701382,26.71367509662359,1,1764873656.56306
36,80,422.7055640200889,27.058976428053548,1,1764873656.7287323
37,147,440.4785606000738,172.64773313760065,1,1764873657.0365624
38,219,507.6194636480551,52.748290271761206,1,1764873657.4719503
39,152,507.75980604645684,46.78092817540242,1,1764873657.7746975
40,36,388.64111339506644,27.460292004181163,1,1764873657.8473125
41,224,507.4419713210893,44.7190728521732,1,1764873658.2891355
42,229,460.59986690940127,26.51656165932279,1,1764873658.7526119
43,166,508.6489287804494,106.84291793312542,1,1764873659.0881617
44,41,400.1255771534002,26.392028224311417,1,1764873659.1758642
45,216,507.8840381753808,126.63774801537002,1,1764873659.6183
46,129,382.12564168645395,152.038672821532,1,1764873659.9129703
47,620,366.7449560684818,674.93239977236,1,1764873661.2337012
48,154,508.82603616811207,102.4897613584832,1,1764873661.532271
49,143,485.7766558405179,26.424742218847875,1,1764873661.8339224
50,44,420.3808494059212,27.860834875798403,1,1764873661.9269242
51,205,509.14680259161827,42.04883111861994,1,1764873662.3642952
52,463,202.83330146076008,421.5454482768031,1,1764873663.3284068
53,118,457.2365287116361,25.629472989266954,1,1764873663.5702848
54,218,508.1856256563749,61.10040227046704,1,1764873664.0099163
55,194,508.85463297163255,42.17411377632761,1,1764873664.4210901
56,366,200.9771573437227,277.9214829075119,1,1764873665.1847832
57,45,386.25332889254656,25.549508931586928,1,1764873665.2867186
58,101,451.5901695447334,26.048496644887816,1,1764873665.4906485
59,323,507.3964383641308,157.24238962557882,1,1764873666.178608
60,244,509.3979997018109,102.24638361978143,1,1764873666.6796787
61,120,507.2472054342641,57.823983288540155,1,1764873666.9305363
62,471,200.2364157524984,427.6769240427531,1,1764873667.9323556
63,135,447.66101904059377,25.06962816033302,1,1764873668.2072604
64,161,457.18909767669,27.8788521699149,1,1764873668.5249212
65,86,422.38603236218347,26.43209415663778,1,1764873668.7079427
66,144,452.31156650241525,27.697692141134297,1,1764873669.0083416
67,121,442.8991707442292,27.754916805525593,1,1764873669.2605352
68,98,415.92642163147525,27.04282609830577,1,1764873669.4708421
69,462,507.3952979003291,380.4580274188845,1,1764873670.4271657
70,227,508.0476551689983,54.83733282290288,1,1764873670.9017065
71,170,496.8957058889902,25.89416426660781,1,1764873671.2444274
72,175,507.2974119477036,78.65622441433686,1,1764873671.5965104
73,578,200.28595869351702,391.59526483132714,1,1764873672.7513947
74,40,408.05642994431895,27.397360782627732,1,1764873672.8321025
75,521,200.6843382223408,378.39831399524354,1,1764873673.8762112
76,79,444.486485095843,26.983948288068536,1,1764873674.0409384
77,209,509.77097184698545,42.403079975944785,1,1764873674.4741879
78,104,417.0632036272384,25.595148689014216,1,1764873674.6887279
79,129,451.96893024718815,26.960509986608926,1,1764873674.9518263
80,104,399.36775628017455,27.090570234958165,1,1764873675.166836
81,85,422.6715201110077,26.614109614945203,1,1764873675.3473036
82,280,507.0976687738556,39.02774187027503,1,1764873675.9244123
83,459,190.1308600215641,427.08249033919606,1,1764873676.8567493
84,145,465.4085583845743,26.315463890215458,1,1764873677.1493897
85,214,508.50553861817184,236.26669852468854,1,1764873677.589488
86,284,469.01784743928266,27.213565294786164,1,1764873678.1673129
87,235,479.3078819540713,25.474367253803745,1,1764873678.6563923
89,150,418.55789569228045,152.4298315887312,1,1764873682.0547583
90,452,202.934951172976,409.37006194228826,1,1764873683.0073495
91,95,375.11158495469675,24.607006882642764,1,1764873683.216058
92,85,393.4579765542901,26.203556651560724,1,1764873683.3930192
93,528,486.4895752324035,27.167953909544238,1,1764873684.4741275
