ep,step,robot_x,robot_y,dynamic_count,time
1,71,383.0383641914601,27.711249741714948,1,1764876877.0494902
2,381,202.543589697907,53.42343300632277,1,1764876881.6926153
3,155,508.46425291441767,102.80133231405195,1,1764876883.5749197
4,50,393.2600894210263,26.13087982648964,1,1764876884.179044
5,95,468.5848509803619,25.942467858309076,1,1764876885.3256152
6,109,446.32774673041735,27.744575144628616,1,1764876886.644345
7,210,508.15433413096196,141.60230364550387,1,1764876889.171142
8,179,508.8651557509329,113.67506580980127,1,1764876891.3289623
9,42,393.4844181079398,27.6175803135004,1,1764876891.8459775
10,54,405.6180424143172,25.994093171917196,1,1764876892.5058322
11,170,503.3009140790775,27.58981617650754,1,1764876894.5275116
12,259,507.60812815324994,263.02341314825435,1,1764876897.67054
13,212,507.62544658248817,126.79063891883855,1,1764876900.233665
14,104,438.85098136206426,26.384466644706436,1,1764876901.5071099
15,440,200.57751029834637,149.13794685872483,1,1764876906.831969
16,236,486.16843851543723,26.944673881787626,1,1764876909.6819584
17,55,412.4854665105912,26.851644368311803,1,1764876910.3556597
18,123,508.8887556702178,33.34161372370107,1,1764876911.8426468
19,287,196.1615257861575,217.1038597343612,1,1764876915.3115911
20,208,508.3104877630161,72.67264732629752,1,1764876917.8584046
21,98,391.3802965785401,26.025601462428583,1,1764876919.0576723
22,169,495.0948759660138,27.489398942742874,1,1764876921.110386
23,17,399.7728720701902,27.940736125758427,1,1764876921.3266633
24,121,509.96059999370465,112.15164751772525,1,1764876922.7983413
25,247,508.7382946851171,152.63908141789707,1,1764876925.7821748
26,295,507.4270757685068,175.65757810965704,1,1764876929.3515189
27,34,395.7353566797331,27.30050327976081,1,1764876929.7723246
28,161,509.9810089838847,110.95887264897327,1,1764876931.6966414
29,46,423.40965056864724,26.443533111366925,1,1764876932.249828
30,64,404.0624923056012,26.87050521063836,1,1764876933.0193303
31,379,202.85390831904076,388.8457544827487,1,1764876937.4990876
32,77,379.0139844312434,26.872407087711238,1,1764876938.4234514
33,114,461.0468397932304,26.577146963859715,1,1764876939.7876961
34,340,507.84528158358637,232.16443063682675,1,1764876943.792364
35,96,414.08304180264173,26.945552720782317,1,1764876944.961164
36,134,507.197988264283,162.75049208558582,1,1764876946.5657752
37,179,509.07567565193295,80.8506583054959,1,1764876948.6927605
38,153,509.6113488327161,85.13098760849721,1,1764876950.5141168
39,209,507.8937442193837,65.02458279755504,1,1764876952.9981022
40,164,484.7780540394859,26.1488624195781,1,1764876954.951283
41,183,508.4391173780113,180.61465942174524,1,1764876957.1442378
42,155,508.10265532361757,116.1603602631293,1,1764876958.9991274
43,143,509.44341389965393,66.07204902141174,1,1764876960.7411635
44,78,370.3539394133336,26.56813555939154,1,1764876961.6834738
45,121,485.19881647420783,27.273583934440182,1,1764876963.1099756
46,248,508.45106385117134,141.14784627921142,1,1764876966.0281675
47,176,508.04281084653104,72.66214195791864,1,1764876968.102887
48,223,509.4456066914478,77.99358110997795,1,1764876970.773206
49,168,509.01721682286995,31.189411217232077,1,1764876972.8533437
50,120,411.27495902979314,27.914287129606286,1,1764876974.2807243
51,193,507.10641564472814,60.91818455123901,1,1764876976.575768
52,273,202.11828763452982,103.62201889011567,1,1764876979.7810614
53,222,507.7566042529001,164.93278532482609,1,1764876982.4435349
54,665,202.71776593788434,509.0708886098006,1,1764876990.2779636
55,71,411.87364601677575,27.566510934144958,1,1764876991.1305637
56,143,509.26320560027744,28.19759178089068,1,1764876992.8396196
57,128,481.485902120206,25.339943490513132,1,1764876994.352354
58,136,428.90563939870236,26.570033465076108,1,1764876995.9690466
59,101,461.80685377466284,154.47790020990595,1,1764876997.1921034
60,198,509.37928269674944,75.9968648999969,1,1764876999.5255167
61,49,412.01767285576443,27.415904465578954,1,1764877000.1170802
62,247,413.38775524002637,27.10355233002175,1,1764877003.050008
63,296,200.98468878765235,226.84053389932126,1,1764877006.5508723
64,196,509.90198527353226,185.85316728797136,1,1764877008.885329
65,230,507.9082185571153,80.09787326860797,1,1764877011.6300998
66,208,437.2135074195068,26.38633662534061,1,1764877014.0964475
67,54,398.3317938538648,27.750712732139277,1,1764877014.7402573
68,62,432.99547703545704,26.651542641693823,1,1764877015.488746
69,473,307.92462943095484,27.91662178243525,1,1764877021.1203158
70,71,434.35216448649203,26.890259210526334,1,1764877021.9645424
71,132,392.21257471847554,25.4604000068618,1,1764877023.538194
